Discounted_price_$,Actual_price_$,Discount_percentage_%,Rating,Rating_count,Product_id,Product_name,Category,About_product,User_id,User_name,Review_id,Review_title,Review_content,Img_link,Product_link,Revenue_$,Purchase_date,Discount_amount,Sales_volume,Discount_bin,Price_change_%,Quantity_change_%,PED
154,339,55,4.3,13391,B08CF3D7QR, Mini (3 FT Pack of 1,Computers&Accessories,iPad mini 1/2/3,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Sagar Viswanathan,R2J3Y1WL29GWDE,Super cable,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,https://www.amazon.in/Portronics-POR-1081-Charging-1-2Meter-Function/dp/B08CF3D7QR/ref=sr_1_12?qid=1672909124&s=electronics&sr=1-12,736505,6/1/2023,185,13391,50-60%,13.37792642,-69.56175842,-5.199741442
299,799,63,4.2,94363,B0789LZTCJ, Grey),Accessories&Peripherals,iPod nano7,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,Asp,RYGGS0M09S3KY,As,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,https://m.media-amazon.com/images/I/41SDfuK7L2L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Rugged-Extra-Tough-Unbreakable-Braided/dp/B0789LZTCJ/ref=sr_1_13?qid=1672909124&s=electronics&sr=1-13,5944869,12/3/2022,500,94363,60-70%,135.6932153,604.6747816,4.456190238
219,700,69,4.4,426973,B07KSMBL2H,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones,Cables&Accessories,iPod touch and more apple devices.,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,Placeholder,R17KQRUTAN5DKS,Good quality,Value for money,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_14?qid=1672909124&s=electronics&sr=1-14,29461137,8/20/2023,481,426973,60-70%,-12.39048811,352.4792556,-28.44756821
350,899,61,4.2,2262,B085DTN6R2, Tablets,Cables,Fast Charge&Data Sync : It can charge and sync simultaneously at a rapid speed,AEPSWFPNECKO34PUC7I56ITGXR6Q,BharanI,R3AAQGS6HP2QUK,Good product, with extra length👍,https://m.media-amazon.com/images/I/31J6qGhAL9L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-Delivery-Support-Braided/dp/B085DTN6R2/ref=sr_1_15?qid=1672909124&s=electronics&sr=1-15,137982,2/28/2022,549,2262,60-70%,28.42857143,-99.47022411,-3.498952607
159,399,60,4.1,4768,B09KLVMZ3B, Laptops & other Type C devices,USBCables, Compatible with any charging adaptor,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,sonia,R1HDNOG6TO2CCA,its good,Good,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41R08zLK69L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1401-Charging-Function/dp/B09KLVMZ3B/ref=sr_1_16?qid=1672909124&s=electronics&sr=1-16,286080,12/10/2021,240,4768,50-60%,-55.61735261,110.7869142,-1.991948718
349,399,13,4.4,18757,B083342NKJ, PD Technology,Computers&Accessories, multi-port charging station or power bank.,AH4QT33M55677I7ISQOAKEQWACYQ,Niam,R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit, working fine,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31gaP7qpBNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Mi-Braided-USB-Type-C-Cable/dp/B083342NKJ/ref=sr_1_17?qid=1672909124&s=electronics&sr=1-17,243841,10/30/2022,50,18757,10-20%,0,293.3934564,inf
13999,24999,44,4.2,32840,B0B6F7LX4C, 480Mbps Data Sync,Accessories&Peripherals,Durability : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Kunal,R3J3EQQ9TZI5ZJ,Good speed for earlier versions,Product quality is good,https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_18?qid=1672909124&s=electronics&sr=1-18,1444960,12/19/2022,11000,32840,40-50%,6165.413534,75.08130298,0.012177821
249,399,38,4,43994,B082LSVT4B, Quick Charge 3.0 (RCT15A,Cables&Accessories,High Security Level : It is designed to fully protect your device from damaging excessive current.Copper core thick+Multilayer shielding,AESFLDV2PT363T2AQLWQOWZ4N3OA,Himanshu,R3E7WBGK7ID0KV,Good Product,Good,https://m.media-amazon.com/images/I/41d84o5-M-L._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_19?qid=1672909124&s=electronics&sr=1-19,1671772,7/17/2021,150,43994,30-40%,-98.40393616,33.96467722,-0.345155677
199,499,60,4.1,13045,B08WRBG3XW, Black),Cables, Anti-interference,AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,viswanath,RWU79XKQ6I1QF,Working good,very good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41xwPQLxTML._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=sr_1_20?qid=1672909124&s=electronics&sr=1-20,782700,2/17/2021,300,13045,50-60%,25.06265664,-70.3482293,-2.806894349
13490,21990,39,4.3,11976,B08DPLCM6T,Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13,USBCables, Protective circuit equipment.,AEUVWXYP5LT7PZLLZENEO2NODPBQ,sai niharka,R25X4TBMPY91LX,Good for the price,Bought for my daughter's old phone.Brand new cable it was not charging,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51v-2Nzr+ML._SY300_SX300_.jpg,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_21?qid=1672909124&s=electronics&sr=1-21,467064,11/1/2023,8500,11976,30-40%,4306.813627,-8.194710617,-0.001902732
970,1799,46,4.5,815,B09C6HXFC1,12,Computers&Accessories,WARRANTY: 12 months warranty and friendly customer services,AHC7MPW55DOO6WNCOQVA2VHOD26A,saqib malik,R27OK7G99VK0TR,Good, I already repacked and requested for replacement.I checked again,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TZJiPRRwL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22,37490,7/8/2023,829,815,40-50%,-91.81900864,-93.19472278,1.01498289
279,499,44,3.7,10962,B085194JFL,11,Accessories&Peripherals, ensures the long-time enjoyment of your purchase. If you meet any question or problem,AFDI6FRPFBTNBG7BAEB7JDJSMKDQ,Aashiq,R207CYDCHJJTCJ,Worth for money, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31MIyzg8uzL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_23?qid=1672909124&s=electronics&sr=1-23,482328,11/17/2022,220,10962,40-50%,-72.26236798,1245.030675,-17.22930911
13490,22900,41,4.3,16299,B09F6S8BT6, X,Cables&Accessories, please don't hesitate to contact us.,AFQKCEEEKXCOHTDG4WUN3XPPHJQQ,Ramu Challa,R3PCU8XMU173BT,Working nice, came with braided 1.5m long cable,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51q3+E64azL._SX300_SY300_.jpg,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_24?qid=1672909124&s=electronics&sr=1-24,668259,10/2/2022,9410,16299,40-50%,4489.178357,48.6863711,0.010845274
59,199,70,4,9378,B09NHVCHS9,8,Cables,Compatible with all Type C enabled devices,AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,Sanjay gupta,R1IMONDOWRNU5V,it's a really nice product, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor,https://m.media-amazon.com/images/I/31qGpf8uzuL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Flix-Micro-Cable-Smartphone-Black/dp/B09NHVCHS9/ref=sr_1_25?qid=1672909125&s=electronics&sr=1-25,656460,4/29/2023,140,9378,60-70%,-99.13100437,-42.46272777,0.428349617
11499,19990,42,4.3,4703,B0B1YVCJ2Y,7,USBCables, be it an android smartphone (Mi,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Omkar dhale,R3EEUZKKK9J36I,Good product, they might have stored in very humid place.,https://m.media-amazon.com/images/I/41gikeSuhAL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_26?qid=1672909125&s=electronics&sr=1-26,197526,4/7/2023,8491,4703,40-50%,9945.226131,-49.85071444,-0.005012527
199,699,72,4.2,12153,B01M4GGIVU,6,Computers&Accessories, Samsung,AG5HTSFRRE6NL3M5SGCUQBP7YSCA,JD,R3HJVYCLYOY554,Good one,Not quite durable and sturdy,https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_27?qid=1672909125&s=electronics&sr=1-27,875016,11/22/2021,500,12153,70-80%,-96.50325163,158.4095258,-1.641494179
14999,19999,25,4.2,34899,B08B42LWKN,5,Accessories&Peripherals, Oppo,AH725ST5NW2Y4JZPKUNTIJCUK2BA,HEMALATHA,REDECAZ7AMPQC,Nice,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71rIggrbUCL._SY88.jpg,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41WE9ZGEC4L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_29?qid=1672909125&s=electronics&sr=1-29,872475,6/1/2021,5000,34899,20-30%,2761.087268,187.1636633,0.067786218
299,399,25,4,2766,B094JNXNPV, iPad Air,Cables&Accessories, Vivo,AHV3TXIFCJPMS4D5JATCEUR266MQ,Ajwadh a.,R1CLH2ULIVG5U3,Really nice product,Working good,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41GeM83DzzL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Multipurpose/dp/B094JNXNPV/ref=sr_1_31?qid=1672909125&s=electronics&sr=1-31,69150,1/16/2021,100,2766,20-30%,-98.00490025,-92.07427147,0.939486406
970,1999,51,4.4,184,B09W5XR9RT, Pro,Cables, Realme,AGWIGDEMFIIUAOXYY2QATNBSUGHA,amar singh chouhan,R2DMKIBGFKBD6R,Very first time change,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61bKp9YO6wL._SY88.jpg,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/4177nw8okbL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Duracell-Lightning-Certified-Braided-Charging/dp/B09W5XR9RT/ref=sr_1_32?qid=1672909125&s=electronics&sr=1-32,9384,2/1/2023,1029,184,50-60%,401.0025063,-93.34779465,-0.232786063
299,999,70,4.3,20850,B077Z65HSD, Mini & iOS Devices,USBCables, OnePlus,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,Ravi Siddan,RC89B5IAJUTR5,Good,Product,https://m.media-amazon.com/images/I/41jk4zYjTsL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/A400-Type-C-Cable-Meter-Black/dp/B077Z65HSD/ref=sr_1_33?qid=1672909125&s=electronics&sr=1-33,1459500,8/18/2022,700,20850,60-70%,-50.02501251,11231.52174,-224.5181196
199,750,73,4.5,74976,B00NH11PEY,boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant,Computers&Accessories, etc),AGAKDNBHY2FKX7I4ACRGILU7QL7A,Himanshu Goel,R3B3DDON5FH8DS,Fine product but could be better,Very nice product,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Fqm0bR7PL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH11PEY/ref=sr_1_34?qid=1672909125&s=electronics&sr=1-34,5473248,10/6/2021,551,74976,70-80%,-24.92492492,259.5971223,-10.41516165
179,499,64,4,1934,B09CMM3VGK, Tangle-Free,Accessories&Peripherals, tablet,AFNWJUWJRHCC6HN52KMG5AKZY37Q,Udaykumar,R13WAEJDI5RS36,Very nice it's charging like jet,Working well,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41cCZ5EPnvL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Charging-Unbreakable-Braided-Connector/dp/B09CMM3VGK/ref=sr_1_35?qid=1672909125&s=electronics&sr=1-35,123776,12/10/2022,320,1934,60-70%,-33.46666667,-97.4205079,2.910971351
389,1099,65,4.3,974,B08QSC1XY8, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission,Cables&Accessories, laptop (Macbook,AE3Q6KSUK5P75D5HFYHCRAOLODSA,rahuls6099,R1BP4L2HH9TFUP,As good as original,It's a really nice product,https://m.media-amazon.com/images/I/419QKVTxaSL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Charging-Braided-Charger-Samsung-Galaxy/dp/B08QSC1XY8/ref=sr_1_36?qid=1672909125&s=electronics&sr=1-36,63310,8/12/2022,710,974,60-70%,120.240481,-49.63805584,-0.412823164
599,599,0,4.3,355,B008FWZGSG, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red),Cables, Chromebook,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,Swasat Borah,R16PVJEXKV6QZS,Decent,Good product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/11ICusapw3L._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Samsung-Original-Type-Cable-Meter/dp/B008FWZGSG/ref=sr_1_37?qid=1672909125&s=electronics&sr=1-37,0,7/19/2023,0,355,0-10%,-45.49590537,-63.5523614,1.396880903
199,999,80,3.9,1075,B0B4HJNPV4,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone,USBCables, etc),AFK4NJOLFSJGWLOJIUIAROJF6YVA,Ajay Wadke,R2UPDB81N66T4P,Good one for secondary use,long wire,https://m.media-amazon.com/images/I/41wN7jooz0L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/pTron-3-5Amps-Charging-480Mbps-Smartphones/dp/B0B4HJNPV4/ref=sr_1_38?qid=1672909125&s=electronics&sr=1-38,86000,1/3/2021,800,1075,70-80%,66.77796327,202.8169014,3.037183099
99,666.66,85,3.9,24871,B08Y1SJVV5, iPad (Grey),Computers&Accessories,Supports Quick Charging (2.0/3.0),AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,Pranali,R3KK4GT934ST3I,Best quality,Charges good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31ew3okQR2L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Solero-MB301-Charging-480Mbps-1-5-Meter/dp/B08Y1SJVV5/ref=sr_1_39?qid=1672909125&s=electronics&sr=1-39,2114035,5/29/2022,567.66,24871,80-90%,-33.26726727,2213.581395,-66.5393216
899,1900,53,4.4,13552,B07XLCFSSN,pTron Solero TB301 3A Type-C Data and Fast Charging Cable,Accessories&Peripherals,Unbreakable – Made of special braided outer with rugged interior bindings,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,RVK,RCFHMWUSBIJO,GOOD,Nice,https://m.media-amazon.com/images/I/3183iGEWksL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Apple-Certified-Lightning-Charging/dp/B07XLCFSSN/ref=sr_1_40?qid=1672909125&s=electronics&sr=1-40,718256,9/8/2022,1001,13552,50-60%,185.00285,-45.51083591,-0.246000729
199,999,80,4,576,B09RZS1NQT, Made in India,Cables&Accessories, it is ultra-durable cable that won’t be affected by daily rough usage,AH5VLM66SIK7J3IRG4NY7XVOQ55A,Bhargav,RDO7DACXMAJ84,Amazing product at a mind blowing price!,I bought this cable for Rs.339 worthy product for this price,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41P2EdQI1ZL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-Type-C-Compatible-Smartphone-Charging/dp/B09RZS1NQT/ref=sr_1_41?qid=1672909125&s=electronics&sr=1-41,46080,3/15/2023,800,576,70-80%,-47.42105263,-95.74970484,2.01913917
32999,45999,28,4.2,7298,B0B3MMYHYW, 480Mbps Data Sync,Cables,Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,Durai Vignesh,R3A6MEZL3LY66Z,Nice Quality, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,https://m.media-amazon.com/images/I/51hQfTroMzL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/OnePlus-50-inches-Android-Pro/dp/B0B3MMYHYW/ref=sr_1_42?qid=1672909125&s=electronics&sr=1-42,204344,6/6/2021,13000,7298,20-30%,4504.504505,1167.013889,0.259077083
970,1999,51,4.2,462,B09C6HWG18, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black),USBCables,Supports maximum 3A fast charging and 480 Mbps data transfer speed,AFSEOFZY67MYC7UAJU264Z5NFTLA,Amazon Customer,R1ESIEKPGAYA29,Good product,Good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41v5BQZzfAL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Type-C-braided-Charge-Cable/dp/B09C6HWG18/ref=sr_1_43?qid=1672909125&s=electronics&sr=1-43,23562,2/22/2022,1029,462,50-60%,-95.65425335,-93.66949849,0.979250741
209,695,70,4.5,107687,B00NH11KIK,boAt Micro USB 55 Tangle-free,Computers&Accessories,6 months manufacturer warranty from the date of purchase,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Jayesh,R7S8ANNSDPR40,It's pretty good,Ok,https://m.media-amazon.com/images/I/4101vlzySzL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-USB-2-0-Cable-Male/dp/B00NH11KIK/ref=sr_1_44?qid=1672909125&s=electronics&sr=1-44,7538090,6/8/2023,486,107687,60-70%,-65.23261631,23208.87446,-355.78635
19999,34999,43,4.3,27151,B09JPC82QC, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black),NetworkingDevices,【 Fast Charger& Data Sync】-With built-in safety proctections and four-core copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mb/s transferring speed.,AGRVINWECNY7323CWFXZYYIZOFTQ,Rajesh k.,R3CLZFLHVJU26P,Average quality,I had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,https://m.media-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_45?qid=1672909125&s=electronics&sr=1-45,1167493,10/11/2023,15000,27151,40-50%,4935.827338,-74.78711451,-0.01515189
399,1099,64,4.2,24269,B07JW1Y6XV,MI Usb Type-C Cable Smartphone (Black),NetworkAdapters,【 Compatibility】-Compatible with iPhone 13,AHBAT6VLOXWGYDL57KHCNCLPXAKA,Soopy,RFF7U7MPQFUGR,very good and useful usb cable,I like this product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41rB0DnVFmL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Braided-WN3LB1-Syncing-Charging/dp/B07JW1Y6XV/ref=sr_1_46?qid=1672909125&s=electronics&sr=1-46,1553216,9/11/2022,700,24269,60-70%,-96.85991028,-10.61471032,0.109588273
999,1599,38,4.3,12093,B07KRCW6LZ,TP-Link USB WiFi Adapter for PC(TL-WN725N),WirelessUSBAdapters,12,AF7NDY2H6JVYTSQOZP76GCATQ34Q,amazon customer,R1MV1NKC23DWPI,Good USB cable. My experience was very good it is long lasting,Bought this instead of original apple,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31EHCPHbSlL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-Archer-T2U-Nano-Wireless/dp/B07KRCW6LZ/ref=sr_1_47?qid=1672909125&s=electronics&sr=1-47,459534,8/4/2021,600,12093,30-40%,45.49590537,-50.17100004,-1.102758581
